All Tables
Month	yyyy	ics_all	ics_inc31	ics_inc32	ics_inc33	ics_a1834	ics_a3554	ics_a5597	ics_ne	ics_nc	ics_s	ics_w	icc_all	ice_all	pago_f_all	pago_s_all	pago_u_all	pago_dk_all	pago_r_all	pagorn_hy_all	pagorn_ha_all	pagorn_ld_all	pagorn_ly_all	pagorn_hp_all	pagorn_la_all	pagorn_hd_all	pagorn_ny_all	pagorn_nad_all	pexp_f_all	pexp_s_all	pexp_u_all	pexp_dk_all	pexp_r_all	ptrd_bb_all	ptrd_bs_all	ptrd_ss_all	ptrd_ws_all	ptrd_ww_all	ptrd_bw_all	ptrd_dk_all	ptrd_r_all	pago5_f_all	pago5_s_all	pago5_u_all	pago5_dk_all	pago5_r_all	pexp5_f_all	pexp5_s_all	pexp5_u_all	pexp5_dk_all	pexp5_r_all	ptrd5_bb_all	ptrd5_bs_all	ptrd5_ss_all	ptrd5_ws_all	ptrd5_ww_all	ptrd5_bw_all	ptrd5_dk_all	ptrd5_r_all	inex_dwn_all	inex_0_all	inex_12_all	inex_34_all	inex_5_all	inex_69_all	inex_125_all	inex_25p_all	inex_dkup_all	inex_dk_all	inex_med_all	inex_r_all	rinc_f_all	rinc_s_all	rinc_u_all	rinc_dk_all	rinc_r_all	pinc2_0_all	pinc2_0124_all	pinc2_2549_all	pinc2_50_all	pinc2_5174_all	pinc2_7599_all	pinc2_100_all	pinc2_dk_all	pinc2_mean_all	pinc_0_all	pinc_0124_all	pinc_2549_all	pinc_50_all	pinc_5174_all	pinc_7599_all	pinc_100_all	pinc_dk_all	pinc_mean_all	pjob_0_all	pjob_0124_all	pjob_2549_all	pjob_50_all	pjob_5174_all	pjob_7599_all	pjob_100_all	pjob_dk_all	pjob_mean_all	pssa_0_all	pssa_0124_all	pssa_2549_all	pssa_50_all	pssa_5174_all	pssa_7599_all	pssa_100_all	pssa_dk_all	pssa_mean_all	pcry_f_all	pcry_s_all	pcry_u_all	pcry_dk_all	pcry_r_all	pstk_0_all	pstk_0124_all	pstk_2549_all	pstk_50_all	pstk_5174_all	pstk_7599_all	pstk_100_all	pstk_dk_all	pstk_mean_all	inv_9_all	inv_24_all	inv_49_all	inv_99_all	inv_199_all	inv_499_all	inv_500_all	inv_dk_all	inv_md_all	inv_p25_all	inv_p75_all	inv_r50_all	hmv_99_all	hmv_199_all	hmv_299_all	hmv_399_all	hmv_499_all	hmv_500_all	hmv_dk_all	hmv_md_all	hmv_p25_all	hmv_p75_all	hmv_r50_all	news_f_all	news_u_all	news_n_all	news_r_all	newsrn_f_govt_all	newsrn_f_emp_all	newsrn_f_dem_all	newsrn_f_pri_all	newsrn_f_cred_all	newsrn_f_stk_all	newsrn_f_trd_all	newsrn_u_govt_all	newsrn_u_emp_all	newsrn_u_dem_all	newsrn_u_pri_all	newsrn_u_cred_all	newsrn_u_eng_all	newsrn_u_stk_all	newsrn_u_trd_all	newsrn_np_all	newsrn_ne_all	newsrn_ng_all	bago_f_all	bago_s_all	bago_u_all	bago_dk_all	bago_r_all	bexp_f_all	bexp_s_all	bexp_u_all	bexp_dk_all	bexp_r_all	btrd_bb_all	btrd_bs_all	btrd_ss_all	btrd_ws_all	btrd_ww_all	btrd_bw_all	btrd_dk_all	btrd_r_all	bus12_f_all	bus12_s_all	bus12_u_all	bus12_dk_all	bus12_na_all	bus12_r_all	bus5_f_all	bus5_s_all	bus5_u_all	bus5_na_all	bus5_r_all	umex_f_all	umex_s_all	umex_u_all	umex_dk_all	umex_r_all	ratex_f_all	ratex_s_all	ratex_u_all	ratex_dk_all	ratex_r_all	px1_dwn_all	px1_0_all	px1_12_all	px1_34_all	px1_5_all	px1_69_all	px1_1014_all	px1_15p_all	px1_dkup_all	px1_dk_all	px1_mean_all	px1_var_all	px1_med_all	px1_std_all	px1_p25_all	px1_p75_all	px1_r50_all	px5_dwn_all	px5_0_all	px5_12_all	px5_34_all	px5_5_all	px5_69_all	px5_1014_all	px5_15p_all	px5_dkup_all	px5_dk_all	px5_mean_all	px5_var_all	px5_std_all	px5_med_all	px5_p25_all	px5_p75_all	px5_r50_all	govt_f_all	govt_s_all	govt_u_all	govt_dk_all	govt_r_all	dur_f_all	dur_s_all	dur_u_all	dur_r_all	durrn_lp_all	durrn_biap_all	durrn_lr_all	durrn_biar_all	durrn_gt_all	durrn_hp_all	durrn_hr_all	durrn_tb_all	durrn_fb_all	durrn_np_all	durrn_nr_all	durrn_nt_all	veh_f_all	veh_s_all	veh_u_all	veh_r_all	vehrn_lp_all	vehrn_biap_all	vehrn_lr_all	vehrn_biar_all	vehrn_gt_all	vehrn_mpg_all	vehrn_hp_all	vehrn_hr_all	vehrn_tb_all	vehrn_fb_all	vehrn_gas_all	vehrn_sel_all	vehrn_np_all	vehrn_nr_all	gas1px_f_all	gas1px_s_all	gas1px_u_all	gas1px_dk_all	gas1px_md_all	gas1px_mean_all	gas5px_f_all	gas5px_s_all	gas5px_u_all	gas5px_dk_all	gas5px_md_all	gas5px_mean_all	hom_f_all	hom_s_all	hom_u_all	hom_r_all	homrn_lp_all	homrn_biap_all	homrn_lr_all	homrn_biar_all	homrn_inv_all	homrn_gt_all	homrn_hp_all	homrn_hr_all	homrn_tb_all	homrn_fb_all	homrn_cd_all	homrn_np_all	homrn_nr_all	homrn_nt_all	homrn_ni_all	shom_f_all	shom_s_all	shom_u_all	shom_r_all	shomrn_hp_all	shomrn_siap_all	shomrn_lr_all	shomrn_siar_all	shomrn_gt_all	shomrn_inv_all	shomrn_lp_all	shomrn_hr_all	shomrn_tb_all	shomrn_fb_all	shomrn_cd_all	shomrn_np_all	shomrn_nr_all	shomrn_nt_all	shomrn_ni_all	homval_f_all	homval_s_all	homval_u_all	homval_dk_all	homval_r_all	hompx1_f_all	hompx1_s_all	hompx1_u_all	hompx1_dk_all	hompx1_mean_all	hompx1_md_all	hompx1_var_all	hompx1_p25_all	hompx1_p75_all	hompx1_r50_all	hompx5_f_all	hompx5_s_all	hompx5_u_all	hompx5_dk_all	hompx5_mean_all	hompx5_md_all	hompx5_var_all	hompx5_p25_all	hompx5_p75_all	hompx5_r50_all	
3	2015	93	85.5	93.2	104	106.7	92.5	84.9	102.1	89.2	91.9	91.8	105	85.3	44	29	27	0	117	35	8	6	24	11	2	4	11	8	36	49	14	1	122	20	27	19	13	7	13	1	127	52	10	38	0	114	53	30	14	3	139	34	16	5	13	9	20	3	128	18	25	15	12	8	3	10	7	2	0	1.4	139	19	35	45	1	74	17	16	7	12	9	20	18	1	51.2	16	24	15	16	10	14	5	0	39	40	31	10	12	2	3	2	0	19.6	20	26	15	13	8	14	4	0	35.1	23	38	39	0	84	1	13	9	20	16	34	6	1	58.8	10	9	8	15	12	15	17	14	97769	32011	343333	311323	14	30	23	7	8	12	6	200861	129061	349741	220680	47	55	38	92	4	21	4	6	3	4	0	19	18	4	4	1	0	1	2	2	3	-15	61	10	28	1	133	27	52	19	2	108	24	34	6	15	13	6	2	130	53	2	37	3	5	116	48	8	43	1	105	27	51	21	1	106	4	33	62	1	42	1	10	26	24	16	8	6	1	8	0	3.5	10	3	3.2	1.4	5	3.6	2	1	34	33	13	4	3	1	8	1	3.2	7	2.6	2.8	1.7	4.2	2.5	18	40	40	2	78	75	5	20	155	34	10	14	0	16	7	3	6	6	27	11	4	66	7	27	139	27	6	24	2	12	5	14	5	8	3	1	4	13	19	5	26	68	1	19.7	28.3	2	18	79	1	75.4	89.3	75	3	22	153	32	10	49	7	4	11	8	7	9	6	2	24	42	-4	2	51	3	46	105	18	2	15	3	18	5	30	6	14	2	7	-12	9	2	-2	49	39	12	0	137	41	53	6	0	2	0.3	21	-0.1	4.3	4.4	62	27	10	1	2.3	2	29	0	4.7	4.6	
4	2015	95.9	86.1	96.7	106.2	108.7	100.7	84.7	102.6	95.3	95.1	93.6	107	88.8	47	26	27	0	120	35	8	8	22	12	2	3	13	11	37	49	13	1	124	21	30	16	14	7	11	1	130	57	9	33	1	124	50	35	13	2	137	33	22	5	13	7	17	3	135	20	22	14	11	7	4	10	10	1	1	1.5	137	23	34	42	1	81	17	16	6	14	9	24	14	0	50.4	14	27	12	17	10	14	6	0	40.2	39	28	11	15	1	4	2	0	20.4	22	21	11	19	7	13	6	1	37.6	21	46	32	1	89	2	13	4	16	24	33	6	2	60.4	10	10	6	8	17	21	14	14	146197	29500	317292	287792	17	29	21	10	7	12	4	198875	122554	316250	193696	50	45	42	105	3	23	4	8	2	4	1	9	16	5	3	1	0	2	2	5	7	-6	63	8	29	0	134	30	55	15	0	115	25	34	6	17	9	8	1	133	56	4	32	2	6	124	50	9	41	0	109	28	51	20	1	108	6	30	64	0	42	2	13	29	23	12	5	6	1	8	1	3.2	10	2.6	3.1	1.1	4.6	3.5	2	1	39	29	13	2	5	0	8	1	3	6	2.5	2.6	1.5	3.9	2.4	21	43	35	1	86	77	4	19	158	32	10	15	2	14	7	3	6	5	25	12	3	71	4	25	146	26	6	26	3	12	3	14	5	6	3	1	4	12	21	9	34	57	0	10.4	21.7	6	21	72	1	50.5	71.6	80	3	17	163	32	10	48	7	8	13	8	7	7	3	1	24	41	3	7	58	3	39	119	18	2	16	2	22	4	26	4	12	2	6	-8	12	8	-2	49	40	11	0	138	44	48	8	0	1.9	0.4	39	-0.1	4.7	4.8	63	28	8	1	2.6	2.3	31	0.1	4.9	4.8	
5	2015	90.7	82.3	91.9	101.3	102.9	93.7	81.1	94.2	92.4	90.6	85.8	100.8	84.2	41	29	30	0	111	33	7	5	25	14	2	3	8	7	35	51	12	2	123	21	25	19	16	9	8	2	121	58	10	32	0	126	53	31	14	2	139	35	22	4	10	9	18	2	138	17	26	15	10	6	3	15	7	1	0	1.3	140	21	34	44	1	77	19	17	9	14	7	16	17	1	47.8	18	26	9	19	8	12	7	1	38.6	39	27	11	12	3	4	3	1	21.8	21	24	12	15	6	16	5	1	36.7	21	44	35	0	86	3	16	8	16	15	33	9	0	58.2	8	9	10	15	15	16	13	14	98409	31352	261932	230580	21	26	21	8	6	13	5	199958	111319	327813	216493	44	54	40	90	2	23	3	6	2	3	0	15	23	3	3	1	0	2	2	3	0	-13	56	11	33	0	123	30	51	18	1	112	27	27	7	21	12	5	1	121	49	5	36	3	7	113	45	10	43	2	102	24	53	22	1	102	6	36	58	0	48	2	12	27	24	13	5	7	2	7	1	3.4	10	2.8	3.2	1.2	4.8	3.6	4	1	34	29	12	7	5	1	6	1	3.2	9	3	2.8	1.3	4.6	3.2	16	42	40	2	76	72	6	22	150	33	9	11	1	15	9	3	6	7	24	8	2	65	8	27	138	24	4	22	2	11	4	15	3	7	5	1	5	9	19	4	33	63	0	12.6	22.2	3	19	77	1	50.3	73.5	82	2	16	166	35	12	46	7	8	10	7	5	8	3	1	28	41	-1	7	54	6	40	114	15	2	12	2	25	4	30	2	11	2	5	-15	10	12	-1	50	37	12	1	138	43	47	9	1	1.9	0.4	27	-0.2	3.4	3.6	64	24	10	2	2.4	2.2	23	0.1	4.7	4.6	
6	2015	96.1	88.6	97.1	103.4	111.1	98.2	86.9	96.3	96.4	98.1	92.2	108.9	87.8	44	31	25	0	119	32	6	5	21	11	2	4	11	5	35	53	10	2	125	19	31	19	14	6	9	2	130	59	11	30	0	129	51	33	13	3	138	36	20	6	11	8	15	4	137	16	25	14	12	10	3	11	7	1	1	1.7	142	20	35	44	1	76	17	17	6	14	9	20	16	1	50	13	28	11	17	9	15	6	1	40.1	40	28	10	11	2	4	4	1	21.3	21	28	10	13	8	13	6	1	35.2	27	42	31	0	96	1	8	7	20	21	32	11	0	63.1	10	10	8	13	13	19	16	11	104000	32594	304342	271748	17	24	22	8	11	16	2	220833	127750	398967	271217	41	50	46	91	3	21	5	2	2	3	0	14	14	4	2	1	1	1	3	0	7	-11	63	13	23	1	140	27	58	14	1	113	22	40	9	11	10	6	2	141	55	4	30	2	9	125	47	9	43	1	104	25	54	20	1	105	5	31	63	1	42	2	10	31	26	11	4	6	2	7	1	3.5	12	2.7	3.4	1.3	4.6	3.3	2	1	39	29	10	3	5	1	8	2	3.2	8	2.8	2.6	1.5	3.9	2.4	22	41	35	2	87	78	7	15	163	34	10	14	1	15	5	2	6	6	29	12	3	69	7	24	145	25	6	28	2	13	4	14	2	6	4	1	4	11	26	4	37	58	1	10.1	18.7	4	19	76	1	50.3	71.3	78	2	20	158	32	10	47	6	7	12	8	5	8	5	2	24	42	-1	5	58	5	37	121	20	1	18	1	22	5	23	4	13	2	6	-3	14	7	-1	55	35	10	0	145	45	48	7	0	2.2	0.4	21	-0.1	4.5	4.6	68	24	7	1	2.9	2.5	28	0.2	4.7	4.4	
7	2015	93.1	85.8	94.3	100.3	108.6	94.6	83.3	98.9	95.5	92	88.4	107.2	84.1	45	26	29	0	116	36	5	6	23	12	1	3	13	7	34	52	12	2	122	22	25	18	17	7	8	3	123	55	10	34	1	121	50	31	15	4	135	34	17	6	12	9	17	5	130	16	26	12	13	8	2	13	8	2	0	1.8	142	22	34	43	1	79	15	17	8	14	8	22	15	1	50.9	15	26	12	16	8	17	5	1	40.2	42	29	11	10	2	4	2	0	19.3	20	26	13	17	7	11	5	1	35.6	23	46	30	1	93	3	13	8	20	15	32	6	3	58.5	10	8	12	13	14	13	17	13	95549	30172	306158	275986	14	26	23	11	7	14	5	224000	142365	353158	210793	41	53	40	88	6	22	2	3	2	2	1	14	16	3	4	1	0	5	7	-1	6	-8	60	11	27	2	133	26	52	20	2	106	22	35	8	13	13	6	3	131	51	2	36	3	8	115	46	8	45	1	101	21	53	25	1	96	8	34	57	1	51	1	11	28	24	14	3	8	2	9	0	3.7	13	2.8	3.6	1.4	4.9	3.4	2	2	34	30	11	4	5	1	10	1	3.3	8	2.8	2.8	1.6	4.3	2.7	23	37	38	2	85	77	7	16	161	35	9	13	1	14	4	2	6	8	31	11	0	70	5	25	145	30	4	26	2	12	3	15	3	7	3	1	3	15	23	12	40	48	0	0.5	12.9	9	22	67	2	49.8	59.3	77	3	20	157	34	11	49	6	6	10	8	5	7	4	2	26	44	-1	4	57	3	40	117	20	2	14	1	24	3	25	4	13	2	5	-5	10	9	-2	52	38	9	1	143	43	50	7	0	2	0.4	21	-0.1	4.5	4.7	68	23	8	1	2.7	2.3	17	0.2	4.7	4.5	
8	2015	91.9	87	91.2	98.9	112.1	94.6	78.5	94.9	92.6	89.5	93.1	105.1	83.4	45	30	25	0	120	37	6	7	23	12	1	2	14	10	34	53	10	3	124	20	31	18	14	6	8	3	131	58	11	30	1	128	53	31	14	2	139	34	23	5	10	8	17	3	139	13	30	14	9	8	3	14	6	2	1	1.4	143	21	36	42	1	79	17	14	6	15	9	22	17	0	51.6	15	26	15	15	8	15	6	0	39.8	43	28	12	9	3	3	2	0	18.3	20	22	15	14	8	15	5	1	37.4	26	44	30	0	96	3	15	6	19	16	33	7	1	57.9	6	10	9	10	14	18	17	16	146731	31875	383656	351781	16	26	18	12	4	18	6	219346	135109	359537	224428	43	57	38	86	4	21	4	3	2	3	2	15	19	4	2	1	0	4	5	1	2	-11	55	11	33	1	122	24	53	21	2	103	19	32	7	18	14	8	2	119	48	5	37	3	7	111	43	11	43	3	100	24	51	25	0	99	5	31	63	1	42	3	11	26	25	15	3	5	3	8	1	3.5	15	2.8	3.9	1.3	4.8	3.5	4	2	36	30	12	3	4	1	7	1	3.1	8	2.9	2.7	1.5	4.1	2.6	21	41	37	1	84	72	8	20	152	32	10	14	2	13	7	2	6	7	25	12	0	66	7	27	139	25	5	26	2	11	3	15	4	9	4	2	3	10	22	18	43	39	0	0.2	8.5	10	25	64	1	49.6	54.4	79	1	20	159	30	12	46	7	9	10	9	5	8	5	1	21	41	-3	8	60	4	36	124	24	3	17	3	20	5	25	3	9	2	6	-1	14	9	-1	51	38	11	0	140	48	44	8	0	2.7	0.5	34	-0.1	4.9	5	68	21	10	1	2.8	2.4	21	0.2	4.9	4.7	
9	2015	87.2	81.3	82.2	99.7	102.7	89.5	75.6	89.3	86.5	86.5	87.5	101.2	78.2	43	25	32	0	111	36	4	7	22	11	3	3	14	5	33	51	12	4	121	20	24	18	17	7	10	4	120	55	8	36	1	119	50	32	14	4	136	32	19	5	11	9	19	5	131	15	31	12	11	7	3	10	7	3	1	1	138	19	34	46	1	73	20	15	5	16	6	21	16	1	48.7	14	28	14	17	6	15	5	1	39.2	38	29	10	11	2	5	4	1	22.2	23	27	12	13	7	12	5	1	33.6	18	42	39	1	79	5	17	12	19	16	25	5	1	51.5	10	10	5	18	12	18	13	14	98995	34464	299083	264619	16	29	21	11	6	11	6	199353	129672	348154	218482	33	68	37	65	2	18	2	3	1	3	0	11	20	3	3	2	0	16	8	0	-2	-9	50	13	36	1	114	21	53	25	1	96	15	31	9	18	17	8	2	111	43	4	43	4	6	100	41	9	48	2	93	19	52	27	2	92	6	30	63	1	43	3	11	26	26	15	5	4	2	8	0	3.1	11	2.8	3.3	1.1	4.7	3.6	3	2	35	30	14	2	4	1	8	1	3	7	2.6	2.7	1.4	4.1	2.7	20	35	44	1	76	72	7	21	151	33	8	13	2	11	10	3	6	6	23	10	-1	65	6	29	136	25	4	25	2	11	5	15	4	6	4	1	7	10	21	16	42	42	0	0.3	13.1	8	21	70	1	50.1	65.6	77	1	22	155	30	12	43	8	10	11	9	6	9	4	2	21	37	-2	8	54	6	40	114	20	1	17	2	21	4	30	3	8	3	7	-10	14	10	-3	54	31	14	1	140	41	50	9	0	1.7	0.3	35	-0.2	3.6	3.8	64	26	9	1	2.6	1.9	26	0.1	4.5	4.4	
10	2015	90	88.3	85.1	98.6	104.9	94.9	77.5	89.8	90.4	88.3	92.5	102.3	82.1	42	27	31	0	111	34	5	6	24	12	3	6	10	2	36	51	9	4	127	20	28	16	18	6	8	4	124	60	8	31	1	129	52	29	14	5	138	36	20	3	9	8	18	6	139	19	23	15	8	8	3	14	8	1	1	1.5	138	23	29	46	2	77	18	17	6	10	7	24	17	1	50.5	16	28	9	16	7	17	7	0	40.3	38	32	8	13	3	4	1	1	19.9	23	22	12	15	8	14	5	1	36.8	25	41	33	1	92	3	17	9	18	16	30	6	1	55.6	13	8	8	7	11	23	17	13	149333	25917	371875	345958	14	30	17	11	8	14	6	206263	135790	382955	247165	34	66	41	68	3	17	2	4	1	2	1	14	21	3	2	3	0	8	8	2	-4	-11	53	9	37	1	116	21	55	21	3	100	15	31	7	19	13	11	4	114	44	4	43	3	6	101	46	7	45	2	101	20	52	27	1	93	6	32	61	1	45	2	13	28	20	12	5	9	2	8	1	3.5	12	2.7	3.5	1.1	5	3.8	3	3	40	29	10	4	3	2	5	1	3	9	3	2.5	1.2	3.8	2.6	16	44	39	1	77	74	6	20	154	36	10	16	1	11	8	2	8	6	28	14	-3	68	4	28	140	29	5	24	2	8	2	15	5	7	4	1	5	14	19	10	41	48	1	0.5	19.4	7	21	72	0	59.8	72	78	2	20	158	28	10	46	7	5	14	11	6	9	2	1	17	40	3	4	56	4	40	116	18	2	16	1	25	2	27	3	11	2	5	-9	13	12	-3	55	35	10	0	145	39	53	7	1	1.5	0.2	26	-0.5	3.3	3.8	64	25	9	2	2.2	1.9	22	0.1	4.5	4.4	
11	2015	91.3	88.2	90.8	96.1	107.6	94.7	78.5	92.9	90.7	89.6	93.4	104.3	82.9	42	27	31	0	111	33	5	5	27	10	3	5	6	2	34	52	12	2	122	19	28	15	19	7	9	3	121	57	9	33	1	124	50	28	17	5	133	34	18	4	11	9	18	6	132	15	26	15	12	8	3	12	7	2	0	1.8	144	21	36	42	1	79	18	16	8	14	9	22	13	0	48.9	14	25	14	17	10	15	5	0	40.3	39	32	10	11	3	3	1	1	19	24	23	12	16	6	14	5	0	35.5	23	46	31	0	92	4	18	11	18	19	24	4	2	52	8	13	10	9	16	16	15	13	102554	25958	307012	281054	15	24	21	10	6	19	5	224933	139277	399861	260584	39	60	41	79	2	19	3	3	4	3	0	13	22	4	2	2	0	4	4	1	-3	-11	51	11	36	2	115	20	59	18	3	102	15	33	7	22	12	6	5	114	45	5	39	4	7	106	47	10	42	1	105	22	55	21	2	101	5	34	60	1	45	2	14	27	24	14	3	6	2	8	0	3.2	10	2.7	3.2	1.2	4.7	3.5	2	3	38	29	11	2	4	1	9	1	2.9	6	2.5	2.6	1.5	3.5	2.1	16	44	39	1	77	76	8	16	160	45	8	15	2	12	6	2	4	6	39	13	2	70	7	23	147	27	3	28	2	10	3	14	4	6	3	0	3	13	24	5	44	51	0	4.9	18.6	5	19	75	1	50.3	67.6	78	2	20	158	27	10	47	8	7	11	10	7	8	3	1	17	40	0	6	56	5	39	117	22	3	15	2	20	4	23	3	13	1	7	-1	12	6	-3	51	39	10	0	141	44	47	9	0	1.9	0.3	29	-0.5	3.5	4	63	28	7	2	2.6	2.1	18	0.1	4.6	4.5	
12	2015	92.6	84.3	99.9	94.5	105.9	94.6	84.2	91.1	95.7	91.8	91.2	108.1	82.7	44	25	31	0	113	34	2	6	23	10	3	4	11	1	33	57	9	1	124	22	25	18	20	6	8	1	121	55	11	33	1	122	51	33	13	3	138	34	18	6	13	7	20	2	132	14	26	16	11	7	3	13	7	2	1	1.6	145	23	35	41	1	82	16	18	6	8	9	24	18	1	52.4	13	26	16	14	10	15	5	1	40.1	39	27	13	12	2	4	3	0	21.4	21	27	14	12	7	13	5	1	34.4	24	45	31	0	93	2	15	10	18	20	28	6	1	56.1	10	10	10	12	12	17	16	13	100811	26000	308211	282211	13	28	24	11	7	12	5	209167	141500	321500	180000	41	61	40	80	3	18	3	5	2	2	1	15	22	4	3	4	1	3	1	2	-4	-12	50	13	36	1	114	21	58	18	3	103	17	30	9	22	12	6	4	113	44	3	41	4	8	103	47	9	42	2	105	21	53	25	1	96	4	26	69	1	35	3	15	27	23	12	3	6	2	8	1	3	12	2.6	3.5	0.9	4.6	3.7	3	1	40	27	12	4	4	1	7	1	3	7	2.6	2.6	1.4	4.1	2.7	18	40	41	1	77	81	5	14	167	50	6	15	2	12	4	2	4	5	46	13	3	69	3	28	141	29	5	28	3	9	3	13	5	7	3	2	4	16	23	9	45	46	0	0.4	17	5	20	74	1	50.3	72.4	77	2	21	156	35	9	45	8	9	10	9	6	9	3	2	26	39	-2	7	53	3	44	109	20	2	16	3	19	3	27	4	13	1	6	-7	12	5	-3	49	39	11	1	138	44	48	8	0	1.7	0.4	34	-0.1	4.5	4.6	63	27	9	1	1.9	2.2	28	0.1	4.6	4.6	
1	2016	92	84.3	96	96.9	110.6	93.4	81	94.6	96.4	89.5	89.4	106.4	82.7	40	30	30	0	110	35	4	5	21	11	2	5	14	2	36	49	12	3	124	21	25	17	17	8	9	3	121	54	12	33	1	121	51	33	14	2	137	33	20	6	12	7	18	4	134	19	29	8	10	8	3	12	10	1	0	0.8	133	23	35	41	1	82	23	17	4	10	10	20	16	0	47.4	17	24	12	16	6	17	7	1	40.6	42	26	12	10	1	4	4	1	20.2	22	27	11	14	7	12	5	2	33.9	23	43	34	0	89	6	20	10	21	15	21	6	1	50.2	10	9	10	13	14	18	14	12	96960	29774	264922	235148	12	25	22	16	6	15	4	231333	149352	372000	222648	35	71	34	64	2	15	3	8	1	1	1	12	19	3	1	3	0	14	8	7	-4	-10	49	11	39	1	110	24	51	20	5	104	17	27	7	21	13	9	6	110	46	6	39	3	6	107	45	11	43	1	102	18	52	29	1	89	7	24	68	1	39	5	15	28	18	13	5	7	1	8	0	3.1	14	2.5	3.7	0.9	4.8	3.9	3	3	35	27	11	4	5	1	10	1	3.2	8	2.9	2.7	1.5	4.3	2.9	17	40	42	1	75	81	4	15	166	42	8	13	2	14	3	3	7	4	39	10	3	73	6	21	152	28	6	26	4	10	3	9	4	5	4	0	2	19	22	14	41	45	0	0.4	15.6	10	18	72	0	55.3	74	78	2	20	158	30	7	47	10	6	11	9	7	9	3	1	21	40	-1	5	58	2	40	118	20	3	21	4	22	2	22	4	12	2	5	-2	17	8	-3	47	43	9	1	138	42	51	7	0	2	0.3	32	-0.5	3.9	4.4	63	27	9	1	2.2	2.1	27	0.1	4.6	4.5	
2	2016	91.7	83	94.4	98.3	103.5	97	80.3	92	96.2	88.7	91.3	106.8	81.9	47	24	29	0	118	37	5	8	22	10	3	4	15	6	37	50	9	4	128	23	25	16	16	5	11	4	127	59	11	29	1	130	55	30	11	4	144	39	18	5	12	5	16	5	140	15	26	13	10	12	2	12	9	1	0	1.9	144	23	34	42	1	81	22	12	9	13	7	20	17	0	48.9	17	25	11	17	11	13	6	0	38.7	44	30	8	11	1	4	2	0	18.3	20	30	13	12	5	15	4	1	34.1	24	45	30	1	94	3	21	11	17	16	22	8	2	51	12	8	15	10	12	16	13	14	70700	24285	252125	227840	15	32	17	13	7	12	4	200912	121188	338750	217563	36	74	35	62	3	17	3	8	0	1	0	11	21	4	1	3	0	10	6	7	-4	-8	50	11	37	2	113	23	55	19	3	104	15	31	7	19	13	10	5	114	41	6	44	2	7	97	46	11	42	1	104	19	54	26	1	93	8	36	55	1	53	4	19	25	20	16	3	6	2	5	0	2.9	14	2.5	3.7	0.6	4.7	4.1	4	3	39	27	11	4	4	1	5	2	2.9	8	2.9	2.5	1.3	3.9	2.6	22	41	36	1	86	77	5	18	159	43	7	15	1	13	10	4	4	4	33	11	5	71	6	23	148	33	2	27	2	8	2	10	4	6	5	1	3	23	23	11	39	50	0	0.5	20.1	7	16	76	1	74.7	82.4	77	1	22	155	29	7	47	7	8	12	12	5	6	5	0	17	42	1	8	61	4	35	126	24	2	18	1	24	5	23	3	12	1	4	1	15	11	1	48	41	10	1	138	40	54	6	0	2	0.3	27	-0.2	4.2	4.4	62	27	11	0	2.4	1.9	25	0	4.5	4.5	
3	2016	91	80.6	95.1	99.4	103.3	95	80.8	91.8	90.8	90	91.9	105.6	81.5	45	29	26	0	119	38	4	8	21	10	2	2	17	8	36	50	9	5	127	23	26	18	15	5	8	5	129	58	10	30	2	128	52	32	12	4	140	37	18	6	11	7	17	4	137	13	31	12	11	7	4	15	5	2	0	1.4	143	22	36	40	2	82	20	16	6	12	9	20	16	1	48.6	17	27	11	16	8	15	5	1	38.3	41	32	10	9	1	5	2	0	18.6	22	25	11	15	8	12	6	1	35.4	25	43	31	1	94	2	20	7	19	14	29	7	2	55	12	8	9	15	10	17	15	14	90556	28563	302287	273724	16	25	21	13	7	12	6	224600	132500	342750	210250	31	59	46	72	2	16	3	3	1	2	0	10	21	4	2	1	0	8	3	1	-5	-8	47	13	36	4	111	23	54	19	4	104	14	29	7	20	11	11	8	112	41	8	41	4	6	100	45	8	45	2	100	20	54	26	0	94	7	29	63	1	44	2	14	25	23	14	4	7	1	9	1	3.3	11	2.7	3.2	1.1	4.8	3.7	2	2	37	29	12	2	4	1	9	2	3.1	8	2.8	2.7	1.3	4.1	2.7	20	39	39	2	81	73	9	18	155	32	11	14	1	11	7	2	5	5	25	12	1	69	7	24	145	21	8	25	2	11	3	12	5	6	6	1	3	9	20	4	37	58	1	14.6	27.3	4	14	80	2	99.6	93	76	2	22	154	28	11	44	7	9	11	12	5	6	6	1	16	39	-1	8	59	1	40	119	25	2	14	2	21	2	29	3	9	3	5	-4	11	9	-3	52	39	9	0	143	45	46	9	0	2	0.4	30	-0.2	4.6	4.8	68	24	7	1	2.8	2.5	28	0.1	4.8	4.7	
